campaign_id,targeted_accounts,paying_accounts,total_recovered,conversion_rate_pct,avg_recovery_per_target,avg_recovery_per_payer
CMP0000092,392,239,28976009.23,60.96938775510205,73918.39089285715,121238.53234309623
CMP0000007,380,228,28503414.58,60.0,75008.9857368421,125014.97622807017
CMP0000023,417,253,28106731.28,60.671462829736214,67402.23328537171,111093.7995256917
CMP0000082,402,249,27676884.27,61.940298507462686,68847.97082089553,111152.1456626506
CMP0000064,395,230,27400659.77,58.22784810126582,69368.7589113924,119133.30334782609
CMP0000088,403,232,26946097.47,57.5682382133995,66863.76543424318,116146.97185344827
CMP0000093,414,235,26929885.15,56.763285024154584,65048.03176328502,114595.2559574468
CMP0000104,365,211,26883718.03,57.80821917808219,73654.022,127410.98592417063
CMP0000010,392,233,26514338.56,59.43877551020408,67638.6187755102,113795.4444635193
CMP0000024,390,240,26313490.18,61.53846153846154,67470.48764102564,109639.54241666666
CMP0000111,395,234,26226789.97,59.24050632911393,66396.93663291138,112080.29901709402
CMP0000115,358,211,25869310.14,58.93854748603352,72260.64284916202,122603.36559241706
CMP0000065,392,238,25643747.58,60.71428571428571,65417.72341836734,107746.83857142857
CMP0000063,383,218,25541011.97,56.919060052219315,66686.71532637076,117160.60536697248
CMP0000019,377,224,25513129.19,59.41644562334217,67674.0827320955,113897.89816964287
CMP0000042,398,232,25434082.91,58.291457286432156,63904.73092964824,109629.66771551724
CMP0000040,374,220,25408662.42,58.82352941176471,67937.60005347594,115493.9200909091
CMP0000091,377,224,25319224.12,59.41644562334217,67159.74567639257,113032.2505357143
CMP0000029,401,222,25183794.01,55.36159600997507,62802.47882793018,113440.51355855857
CMP0000057,363,217,25164770.25,59.77961432506888,69324.43595041323,115966.6831797235
CMP0000051,384,237,25071278.69,61.71875,65289.78825520834,105785.98603375528
CMP0000026,382,227,25028136.45,59.424083769633505,65518.68180628272,110256.1077092511
CMP0000074,363,219,24875659.3,60.33057851239669,68527.9870523416,113587.48538812785
CMP0000015,378,212,24837640.63,56.08465608465608,65708.04399470899,117158.68221698112
CMP0000044,376,209,24807862.98,55.58510638297872,65978.3589893617,118697.90899521532
CMP0000016,386,210,24719014.1,54.40414507772021,64038.89663212436,117709.59095238095
CMP0000046,385,237,24665841.88,61.55844155844156,64067.121766233766,104075.28219409283
CMP0000014,378,224,24646987.35,59.25925925925925,65203.67023809524,110031.19352678572
CMP0000043,376,216,24621013.61,57.446808510638306,65481.41917553191,113986.17412037037
CMP0000099,373,218,24541265.89,58.4450402144772,65794.27852546917,112574.61417431192
CMP0000002,371,217,24471078.81,58.490566037735846,65959.78115902965,112769.94843317971
CMP0000006,390,216,24464888.01,55.38461538461539,62730.48207692308,113263.37041666667
CMP0000095,384,218,24402362.52,56.770833333333336,63547.8190625,111937.44275229357
CMP0000005,394,210,24381369.51,53.299492385786806,61881.648502538075,116101.75957142859
CMP0000114,392,224,24211585.81,57.14285714285714,61764.24951530612,108087.43665178571
CMP0000109,397,227,24169013.43,57.17884130982368,60879.12702770781,106471.42480176211
CMP0000108,374,224,24058842.11,59.893048128342244,64328.454839572194,107405.54513392856
CMP0000070,390,202,24007297.63,51.7948717948718,61557.17341025641,118848.00806930693
CMP0000060,388,214,23999529.35,55.154639175257735,61854.45708762887,112147.33341121496
CMP0000116,368,229,23936302.74,62.22826086956522,65044.30092391304,104525.33947598253
CMP0000056,382,213,23897776.93,55.75916230366492,62559.625471204185,112196.13582159624
CMP0000103,351,207,23835003.21,58.97435897435898,67905.99205128205,115144.94304347827
CMP0000079,368,211,23804519.07,57.33695652173913,64686.193125,112817.62592417061
CMP0000027,390,221,23729612.05,56.666666666666664,60845.1591025641,107373.81018099548
CMP0000036,377,219,23694912.78,58.09018567639257,62851.2275331565,108195.9487671233
CMP0000084,375,214,23670359.330000002,57.06666666666666,63120.95821333334,110609.15574766356
CMP0000013,390,219,23652236.91,56.15384615384615,60646.76130769231,108001.08178082191
CMP0000041,400,224,23633002.53,56.00000000000001,59082.506325,105504.47558035715
CMP0000049,377,215,23622050.81,57.02917771883289,62657.95970822281,109870.00376744186
CMP0000090,379,222,23545069.54,58.575197889182064,62124.19403693931,106058.8718018018
