campaign_id,pre_recovery,post_recovery,accounts,absolute_uplift,improvement_pct
CMP0000046,2321559.13,4134104.7,80,1812545.5700000003,78.07449513465549
CMP0000118,2421834.56,4189956.15,82,1768121.5899999999,73.00752987850665
CMP0000076,1914959.56,3582544.58,74,1667585.02,87.08199665584583
CMP0000061,2368154.78,3933691.79,76,1565537.0100000002,66.1078837929673
CMP0000036,1949068.3,3459290.2,67,1510221.9000000001,77.4842985235561
CMP0000069,1735196.22,3241657.0,62,1506460.78,86.81789198457336
CMP0000047,2625642.82,3981362.74,71,1355719.9200000004,51.633828854147055
CMP0000003,2195956.74,3426510.77,67,1230554.0299999998,56.03726191801026
CMP0000077,2577988.0,3774735.12,74,1196747.12,46.421749053913366
CMP0000032,2935819.6,4115727.67,78,1179908.0699999998,40.19007400863458
CMP0000102,1993644.82,3153536.2,71,1159891.3800000001,58.17943940485849
CMP0000041,2526565.41,3633053.12,72,1106487.71,43.79414463684912
CMP0000034,2048349.89,3151557.87,67,1103207.9800000002,53.85837572896299
CMP0000014,3333634.04,4352833.21,92,1019199.1699999999,30.573217028945383
CMP0000024,3461189.3400000003,4471800.4,84,1010611.06,29.198375492512064
CMP0000082,3050687.72,3994715.88,78,944028.1599999997,30.944765464227835
CMP0000050,1589881.83,2486622.61,58,896740.7799999998,56.402983107241354
CMP0000035,2203237.03,3088897.29,67,885660.2600000002,40.19813791891471
CMP0000093,2598121.52,3392764.11,70,794642.5899999999,30.58527416377352
CMP0000096,1770206.59,2541844.49,53,771637.9000000001,43.59027383351906
CMP0000019,2957902.76,3676638.17,71,718735.4100000001,24.298818058508463
CMP0000012,2895278.6,3592343.25,77,697064.6499999999,24.07590930972929
CMP0000116,2549217.2,3222924.25,74,673707.0499999998,26.42799719066699
CMP0000027,2688376.18,3357896.64,71,669520.46,24.904269907643652
CMP0000089,2419255.25,3062243.85,70,642988.6000000001,26.57795617060251
CMP0000112,3457190.91,4097283.03,92,640092.1199999996,18.51480397418954
CMP0000022,2507847.52,3112131.46,63,604283.94,24.09572093920606
